City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
107,Kodiak,US,2022-04-14 01:03:04,57.79,-152.4072,41.41,62,100,12.21,overcast clouds
108,Barrow,US,2022-04-14 01:03:05,71.2906,-156.7887,-0.38,78,0,10.36,clear sky
109,Sangar,RU,2022-04-14 01:03:05,63.9242,127.4739,22.35,93,100,14.61,light snow
110,Flinders,AU,2022-04-14 01:03:05,-34.5833,150.8552,73.18,74,0,4.0,clear sky
111,Constitucion,CL,2022-04-14 01:00:56,-35.3333,-72.4167,55.98,57,0,8.5,clear sky
112,Meulaboh,ID,2022-04-14 01:03:06,4.1363,96.1285,78.08,85,85,3.2,overcast clouds
113,Gorontalo,ID,2022-04-14 01:03:06,0.5412,123.0595,83.79,71,100,1.52,overcast clouds
114,Coihaique,CL,2022-04-14 01:03:06,-45.5752,-72.0662,45.81,97,33,4.76,scattered clouds
115,Pangkalanbuun,ID,2022-04-14 01:03:07,-2.6833,111.6167,81.07,80,91,1.81,overcast clouds
116,Severo-Kurilsk,RU,2022-04-14 01:03:07,50.6789,156.125,30.45,78,96,26.64,light snow
117,Albany,US,2022-04-14 01:03:05,42.6001,-73.9662,65.91,72,77,3.78,broken clouds
118,Rincon,US,2022-04-14 01:02:57,32.296,-81.2354,71.85,77,100,11.54,overcast clouds
119,Mount Isa,AU,2022-04-14 01:03:08,-20.7333,139.5,89.37,25,11,13.8,few clouds
120,Doctor Juan Manuel Frutos,PY,2022-04-14 01:03:08,-25.3667,-55.8,65.7,90,13,10.16,few clouds
121,Cherskiy,RU,2022-04-14 01:03:09,68.75,161.3,10.99,88,100,8.66,overcast clouds
122,Freeport,US,2022-04-14 01:03:09,40.6576,-73.5832,64.42,74,0,6.91,clear sky
123,Ciudad Bolivar,VE,2022-04-14 01:03:09,8.1222,-63.5497,86.02,49,86,18.1,overcast clouds
124,Konotop,UA,2022-04-14 01:03:10,51.2403,33.2026,41.31,89,100,11.45,overcast clouds
125,Challans,FR,2022-04-14 01:03:10,46.8436,-1.8749,53.8,88,0,6.22,clear sky
126,Benjamin Hill,MX,2022-04-14 01:03:10,30.1667,-111.1,72.54,5,23,14.36,few clouds
127,Caravelas,BR,2022-04-14 01:03:11,-17.7125,-39.2481,76.12,87,47,5.82,scattered clouds
128,Amahai,ID,2022-04-14 01:03:11,-3.3333,128.9167,84.61,67,51,0.54,broken clouds
129,Maturin,VE,2022-04-14 01:03:12,9.75,-63.1767,77.41,72,6,10.6,clear sky
130,Westport,US,2022-04-14 01:00:10,41.1415,-73.3579,65.41,72,100,1.01,overcast clouds
131,Ulaangom,MN,2022-04-14 01:03:12,49.9811,92.0667,28.94,33,22,2.84,few clouds
132,Puerto Carreno,CO,2022-04-14 01:03:12,6.189,-67.4859,84.49,60,70,7.85,broken clouds
133,Hovd,MN,2022-04-14 01:03:13,48.0056,91.6419,22.19,47,56,5.23,broken clouds
134,Jaicos,BR,2022-04-14 01:03:13,-7.3592,-41.1378,78.6,65,87,5.44,overcast clouds
135,Katsuura,JP,2022-04-14 01:03:14,35.1333,140.3,57.22,88,100,23.02,overcast clouds
136,Khandyga,RU,2022-04-14 01:03:14,62.6667,135.6,24.78,87,93,3.87,overcast clouds
137,Ostrovnoy,RU,2022-04-14 01:03:14,68.0531,39.5131,10.18,97,82,7.09,broken clouds
138,Zhicheng,CN,2022-04-14 01:04:15,30.2956,111.5047,57.94,67,100,1.68,heavy intensity rain
139,Sedona,US,2022-04-14 01:04:15,34.8697,-111.761,63.86,8,0,16.11,clear sky
140,Marzuq,YE,2022-04-14 01:04:16,14.4,46.4667,70.03,19,0,5.79,clear sky
141,Jega,NG,2022-04-14 01:04:16,12.2175,4.3792,88.32,38,52,14.94,broken clouds
142,Rovaniemi,FI,2022-04-14 01:01:38,66.5,25.7167,31.41,86,100,4.61,overcast clouds
143,Plettenberg Bay,ZA,2022-04-14 01:04:16,-34.0527,23.3716,63.37,90,99,8.59,overcast clouds
144,Terme,TR,2022-04-14 01:04:17,41.2092,36.9739,42.73,66,99,5.39,overcast clouds
145,Deer Lake,CA,2022-04-14 01:04:17,49.1667,-57.4316,28.74,96,67,3.04,broken clouds
146,Morgan City,US,2022-04-14 01:04:18,29.6994,-91.2068,75.2,94,100,14.97,overcast clouds
147,Fortuna,US,2022-04-14 01:04:18,40.5982,-124.1573,47.66,88,100,25.32,overcast clouds
148,Half Moon Bay,US,2022-04-14 01:03:20,37.4636,-122.4286,59.45,64,0,12.66,clear sky
149,Samarai,PG,2022-04-14 01:04:18,-10.6167,150.6667,84.79,72,11,12.46,few clouds
150,Sidi Bin Nur,TN,2022-04-14 01:04:19,35.5333,10.9167,60.71,82,100,24.23,overcast clouds
151,Comodoro Rivadavia,AR,2022-04-14 01:04:19,-45.8667,-67.5,62.46,48,0,2.3,clear sky
