City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
155,Beringovskiy,RU,2022-04-07 22:45:55,63.05,179.3167,6.73,64,19,2.21,few clouds
156,Puerto Ayora,EC,2022-04-07 22:45:56,-0.7393,-90.3518,84.16,77,26,8.72,scattered clouds
157,Kure,JP,2022-04-07 22:45:56,34.2333,132.5667,54.52,73,0,4.63,clear sky
158,Veraval,IN,2022-04-07 22:45:56,20.9,70.3667,83.01,50,71,10.83,broken clouds
159,Owando,CG,2022-04-07 22:45:57,-0.4819,15.8999,75.07,80,46,1.59,scattered clouds
160,Berlevag,NO,2022-04-07 22:45:57,70.8578,29.0864,32.0,77,58,21.39,broken clouds
161,Bud,US,2022-04-07 22:45:58,39.447,-86.1758,47.75,77,99,14.72,overcast clouds
162,Mahebourg,MU,2022-04-07 22:45:58,-20.4081,57.7,79.09,83,40,10.36,scattered clouds
163,Ndele,CF,2022-04-07 22:45:59,8.4109,20.6473,76.89,66,96,3.15,overcast clouds
164,Trairi,BR,2022-04-07 22:45:59,-3.2778,-39.2689,75.79,93,100,6.96,overcast clouds
165,Novoagansk,RU,2022-04-07 22:46:00,61.9449,76.6625,12.9,99,100,5.55,overcast clouds
166,Aklavik,CA,2022-04-07 22:46:00,68.2191,-135.0107,33.8,47,75,2.3,broken clouds
167,Thompson,CA,2022-04-07 22:42:52,55.7435,-97.8558,42.96,28,0,3.44,clear sky
168,Cockburn Town,TC,2022-04-07 22:46:01,21.4612,-71.1419,78.39,76,1,20.49,clear sky
169,Laguna,US,2022-04-07 22:47:59,38.421,-121.4238,91.18,26,0,4.61,clear sky
170,Saldanha,ZA,2022-04-07 22:48:00,-33.0117,17.9442,57.25,70,1,19.24,clear sky
171,Ratnagiri,IN,2022-04-07 22:48:01,16.9833,73.3,77.85,84,5,4.03,clear sky
172,Bundaberg,AU,2022-04-07 22:48:01,-24.85,152.35,79.21,78,16,11.5,few clouds
173,Humberto De Campos,BR,2022-04-07 22:48:02,-2.5983,-43.4611,76.46,91,95,5.95,light rain
174,Scarborough,GB,2022-04-07 22:48:57,54.2797,-0.4044,38.66,81,99,5.01,overcast clouds
175,Bethel,US,2022-04-07 22:45:19,41.3712,-73.414,50.85,90,100,13.8,overcast clouds
176,Kisumu,KE,2022-04-07 22:49:03,-0.1022,34.7617,68.43,62,90,5.91,overcast clouds
177,Bengkulu,ID,2022-04-07 22:49:03,-3.8004,102.2655,73.98,80,96,4.05,overcast clouds
178,Santa Barbara,US,2022-04-07 22:44:31,34.7333,-120.0343,88.99,13,0,10.36,haze
179,Saint-Michel-Des-Saints,CA,2022-04-07 22:45:43,46.6834,-73.9159,34.93,98,100,11.77,light snow
180,Doha,QA,2022-04-07 22:49:04,25.2867,51.5333,75.18,75,0,2.3,clear sky
181,Bonfim,BR,2022-04-07 22:49:05,3.0833,-59.95,84.72,57,67,9.6,broken clouds
182,Pringsewu,ID,2022-04-07 22:49:05,-5.3582,104.9744,73.06,92,98,5.17,overcast clouds
183,Nagamangala,IN,2022-04-07 22:49:06,12.8156,76.7575,72.07,58,31,3.24,scattered clouds
184,Pontianak,ID,2022-04-07 22:49:06,-0.0333,109.3333,73.38,100,75,2.3,broken clouds
185,Busselton,AU,2022-04-07 22:49:07,-33.65,115.3333,64.35,74,91,9.35,overcast clouds
186,Wakkanai,JP,2022-04-07 22:49:07,45.4094,141.6739,38.53,67,52,19.98,broken clouds
